test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,data_transfer_bytes_per_sec,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb,fail_data_transfer_bytes_per_sec
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_browsing,00:00:13,global information,35,30,5,2.31,69.72,346.63,677.1,302.33,482.05,665.6,677.38,172.03,0.391,0.551,0.833,0.016,1301.77,0.38,59986.11,59993.29,59999.24,59998.21,59998.21,60030.98,60030.98,14,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_browsing,00:00:13,products_list,14,11,3,0.85,206.49,371.92,665.14,282.88,482.05,596.48,665.6,168.71,0.391,0.511,0.833,0.005,443,0.23,59986.11,59990.56,59993.84,59998.21,59998.21,59998.21,59998.21,8.74,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_browsing,00:00:13,category_products,11,10,1,0.77,71.74,319.72,677.1,253.44,413.44,677.38,677.38,165.7,0.646,0.646,0.646,0.006,508.46,0.08,59999.24,59999.24,59999.24,60030.98,60030.98,60030.98,60030.98,15.35,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_browsing,00:00:13,categories,10,9,1,0.69,69.72,345.63,641.96,345.86,500.99,642.05,642.05,178.22,0.494,0.494,0.494,0.004,350.31,0.08,59995.51,59995.51,59995.51,59998.21,59998.21,59998.21,59998.21,13.68,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_details,00:00:10,global information,100,47,53,4.7,27.73,285.46,733.08,248.58,430.59,635.9,733.18,181.65,0.873,0.942,1.021,0.043,4536.2,5.3,59999.95,60009.88,60075,60030.98,60030.98,60030.98,60063.74,12.92,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_details,00:00:10,product_details,100,47,53,4.7,27.73,285.46,733.08,248.58,430.59,635.9,733.18,181.65,0.873,0.942,1.021,0.043,4536.2,5.3,59999.95,60009.88,60075,60030.98,60030.98,60030.98,60063.74,12.92,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_search,00:00:10,global information,100,46,54,4.6,23.52,333.87,1056.03,313.6,438.27,702.46,1056.77,197.4,0.403,0.482,0.631,0.022,2275.1,5.4,59999.86,60009.46,60074.79,60030.98,60030.98,60063.74,60063.74,14.03,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,catalog_search,00:00:10,products_search,100,46,54,4.6,23.52,333.87,1056.03,313.6,438.27,702.46,1056.77,197.4,0.403,0.482,0.631,0.022,2275.1,5.4,59999.86,60009.46,60074.79,60030.98,60030.98,60063.74,60063.74,14.03,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,authenticated_catalog,00:00:10,global information,16,15,1,1.5,66.01,273.3,550.09,256.13,367.62,497.15,550.4,151.39,0.833,0.833,0.833,0.012,1279.5,0.1,60001.83,60001.83,60001.83,60030.98,60030.98,60030.98,60030.98,12.76,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,authenticated_catalog,00:00:10,authenticated_products,16,15,1,1.5,66.01,273.3,550.09,256.13,367.62,497.15,550.4,151.39,0.833,0.833,0.833,0.012,1279.5,0.1,60001.83,60001.83,60001.83,60030.98,60030.98,60030.98,60030.98,12.76,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,auth,00:00:20,global information,20,4,16,0.2,341.2,589.54,879.55,554.5,583.68,879.62,879.62,191.7,1.127,1.127,1.127,0.004,230.8,0.8,60000.59,60009.68,60039.1,60030.98,60030.98,60030.98,60063.74,10.55,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,auth,00:00:20,auth_login,20,4,16,0.2,341.2,589.54,879.55,554.5,583.68,879.62,879.62,191.7,1.127,1.127,1.127,0.004,230.8,0.8,60000.59,60009.68,60039.1,60030.98,60030.98,60030.98,60063.74,10.55,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,health,00:00:10,global information,101,96,5,9.6,15.36,214.59,641.99,170.88,287.74,543.74,612.35,160.57,0.583,0.585,0.588,0.055,5752.8,0.5,59988.1,60000.48,60010.09,60030.98,60030.98,60030.98,60030.98,16.08,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,health,00:00:10,health,101,96,5,9.6,15.36,214.59,641.99,170.88,287.74,543.74,612.35,160.57,0.583,0.585,0.588,0.055,5752.8,0.5,59988.1,60000.48,60010.09,60030.98,60030.98,60030.98,60030.98,16.08,0,0,0,0,0
